Name,Z (in),,X (in),Y (in),X (mm),Y (mm),Z (mm),Comment
TBA,0.0006,0.8756,-0.0036,-2.9208,-0.0914,-74.1883,0.0152,
TBB,0.0001,0.8751,-4.9990,2.9208,-126.9746,74.1883,0.0025,
TBC,-0.0012,0.8738,5.0061,2.9208,127.1549,74.1883,-0.0305,
TB1,49.7536,50.6286,0.0030,-2.9202,0.0762,-74.1731,1263.7414,
TB2,49.7525,50.6275,-5.0034,2.9195,-127.0864,74.1553,1263.7135,
TB3,49.7534,50.6284,4.9975,2.9209,126.9365,74.1909,1263.7364,
M_BOT462,47.0366,47.9116,-6.5379,-0.3301,-166.0627,-8.3845,1194.7296,Set bottom 46
M_BOT461,31.2933,32.1683,-7.0144,-0.3307,-178.1658,-8.3998,794.8498,
M_BOT463,30.8827,31.7577,6.5437,-0.3316,166.2100,-8.4226,784.4206,
M_BOT464,46.6311,47.5061,7.0210,-0.3313,178.3334,-8.4150,1184.4299,
M_TOP461,30.6697,31.5447,-7.0290,0.3314,-178.5366,8.4176,779.0104,Set top 46
M_TOP462,46.4152,47.2902,-6.5567,0.3290,-166.5402,8.3566,1178.9461,
M_TOP463,30.2591,31.1341,6.5306,0.3317,165.8772,8.4252,768.5811,
M_TOP464,46.0049,46.8799,7.0067,0.3315,177.9702,8.4201,1168.5245,
M_BOT132,23.3875,24.2625,-6.2463,-0.3318,-158.6560,-8.4277,594.0425,Set bottom 13
M_BOT133,15.2342,16.1092,2.8175,-0.3306,71.5645,-8.3972,386.9487,
M_BOT134,23.1038,23.9788,3.0598,-0.3309,77.7189,-8.4049,586.8365,
M_BOT131,15.5156,16.3906,-6.4872,-0.3322,-164.7749,-8.4379,394.0962,
M_TOP131,14.8978,15.7728,-6.5077,0.3335,-165.2956,8.4709,378.4041,Set top 13
M_TOP132,22.7685,23.6435,-6.2626,0.3341,-159.0700,8.4861,578.3199,
M_TOP133,14.6073,15.4823,2.8120,0.3321,71.4248,8.4353,371.0254,
M_TOP134,22.4785,23.3535,3.0551,0.3363,77.5995,8.5420,570.9539,
M_BOT_PIVIT,-5.9997,-5.1247,-3.5755,-1.8306,-90.8177,-46.4972,-152.3924,Initial bottom pivit
M_TOP_PIVIT,-6.0206,-5.1456,-3.5707,1.9872,-90.6958,50.4749,-152.9232,Initial top pivit
M_TOP131_+1,14.8887,15.7637,-6.5041,0.3754,-165.2041,9.5352,378.1730,Measure top 13 +1 mm
M_TOP132_+1,22.7624,23.6374,-6.2626,0.3495,-159.0700,8.8773,578.1650,
M_TOP133_+1,14.6012,15.4762,2.8117,0.3716,71.4172,9.4386,370.8705,
M_TOP134_+1,22.4729,23.3479,3.0540,0.3514,77.5716,8.9256,570.8117,
M_TOP_PIVIT_+1,-6.0184,-5.1434,-3.5743,2.0937,-90.7872,53.1800,-152.8674,
M_TOP131_+2,14.8833,15.7583,-6.5053,0.4143,-165.2346,10.5232,378.0358,Measure top 13 +2 mm
M_TOP132_+2,22.7556,23.6306,-6.2622,0.3647,-159.0599,9.2634,577.9922,
M_TOP133_+2,14.5954,15.4704,2.8101,0.4105,71.3765,10.4267,370.7232,
M_TOP134_+2,22.4652,23.3402,3.0568,0.3647,77.6427,9.2634,570.6161,
M_TOP_PIVIT_+2,-6.0223,-5.1473,-3.5619,2.2031,-90.4723,55.9587,-152.9664,
M_TOP131_+3,14.8776,15.7526,-6.5054,0.4537,-165.2372,11.5240,377.8910,Measure top 13 +3 mm
M_TOP132_+3,22.7499,23.6249,-6.2627,0.3791,-159.0726,9.6291,577.8475,
M_TOP133_+3,14.5899,15.4649,2.8102,0.4497,71.3791,11.4224,370.5835,
M_TOP134_+3,22.4603,23.3353,3.0556,0.3804,77.6122,9.6622,570.4916,
M_TOP_PIVIT_+3,-6.0207,-5.1457,-3.5592,2.3031,-90.4037,58.4987,-152.9258,
M_TOP131_+5,14.8651,15.7401,-6.5033,0.5344,-165.1838,13.5738,377.5735,Measure top 13 +5 mm
M_TOP132_+5,22.7379,23.6129,-6.2627,0.4098,-159.0726,10.4089,577.5427,
M_TOP133_+5,14.5789,15.4539,2.8111,0.5296,71.4019,13.4518,370.3041,
M_TOP134_+5,22.4490,23.3240,3.0554,0.4101,77.6072,10.4165,570.2046,
M_TOP_PIVIT_+5,-6.0197,-5.1447,-3.5651,2.5129,-90.5535,63.8277,-152.9004,
M_TOP131_END,14.8548,15.7298,-6.5029,0.6108,-165.1737,15.5143,377.3119,Measure top 13 at end of travel
M_TOP132_END,22.7264,23.6014,-6.2627,0.4390,-159.0726,11.1506,577.2506,
M_TOP133_END,14.5686,15.4436,2.8109,0.6061,71.3969,15.3949,370.0424,
M_TOP134_END,22.4373,23.3123,3.0558,0.4388,77.6173,11.1455,569.9074,
M_TOP_PIVIT_END,-6.0168,-5.1418,-3.5644,2.7201,-90.5358,69.0905,-152.8267,
M_TOP131_0,14.8946,15.7696,-6.5042,0.3337,-165.2067,8.4760,378.3228,Measure top 13 at zero
M_TOP132_0,22.7684,23.6434,-6.2623,0.3337,-159.0624,8.4760,578.3174,
M_TOP133_0,14.6079,15.4829,2.8113,0.3294,71.4070,8.3668,371.0407,
M_TOP134_0,22.4792,23.3542,3.0565,0.3346,77.6351,8.4988,570.9717,
M_TOP_PIVIT_0,-6.0196,-5.1446,-3.5658,1.9880,-90.5713,50.4952,-152.8978,
M_TOP131_END2,14.8545,15.7295,-6.5041,0.6119,-165.2041,15.5423,377.3043,Measure top 13 at end of travel
M_TOP132_END2,22.7263,23.6013,-6.2636,0.4391,-159.0954,11.1531,577.2480,
M_TOP133_END2,14.5679,15.4429,2.8117,0.6084,71.4172,15.4534,370.0247,
M_TOP134_END2,22.4375,23.3125,3.0555,0.4403,77.6097,11.1836,569.9125,
M_TOP_PIVIT_END2,-6.0177,-5.1427,-3.5631,2.7281,-90.5027,69.2937,-152.8496,
M_TOP131_02,14.8955,15.7705,-6.5061,0.3326,-165.2549,8.4480,378.3457,Measure top 13 at zero
M_TOP132_02,22.7687,23.6437,-6.2632,0.3329,-159.0853,8.4557,578.3250,
M_TOP133_02,14.6071,15.4821,2.8118,0.3304,71.4197,8.3922,371.0203,
M_TOP134_02,22.4787,23.3537,3.0541,0.3361,77.5741,8.5369,570.9590,
M_TOP_PIVIT_02,-6.0193,-5.1443,-3.5634,1.9822,-90.5104,50.3479,-152.8902,
M_BOT131_-1,15.5089,16.3839,-6.4878,-0.3708,-164.7901,-9.4183,393.9261,Measure bottom 13 at -1 mm
M_BOT132_-1,23.3798,24.2548,-6.2484,-0.3459,-158.7094,-8.7859,593.8469,
M_BOT133_-1,15.2257,16.1007,2.8171,-0.3681,71.5543,-9.3497,386.7328,
M_BOT134_-1,23.0966,23.9716,3.0572,-0.3420,77.6529,-8.6868,586.6536,
M_BOT_PIVIT_-1,-6.0100,-5.1350,-3.5752,-1.9418,-90.8101,-49.3217,-152.6540,
M_BOT131_-2,15.5010,16.3760,-6.4879,-0.4114,-164.7927,-10.4496,393.7254,Measure bottom 13 at -2 mm
M_BOT132_-2,23.3722,24.2472,-6.2490,-0.3603,-158.7246,-9.1516,593.6539,
M_BOT133_-2,15.2186,16.0936,2.8201,-0.4085,71.6305,-10.3759,386.5524,
M_BOT134_-2,23.0893,23.9643,3.0579,-0.3558,77.6707,-9.0373,586.4682,
M_BOT_PIVIT_-2,-6.0116,-5.1366,-3.5729,-2.0503,-90.7517,-52.0776,-152.6946,
M_BOT131_-3,15.4939,16.3689,-6.4887,-0.4510,-164.8130,-11.4554,393.5451,Measure bottom 13 at -3 mm
